机构名称,地址,邮政编码,区县代码,区县名称,经济类型名称,机构管理名称
北京市海淀区田村街道建西苑社区卫生服务站,北京市海淀区田村街道八角东路12号锅炉房东侧,100143,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区田村街道西木社区卫生服务站,北京市海淀区西四环北路137号院甲3号,100143,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区田村街道橡胶院社区卫生服务站,北京市海淀区阜石路甲19号院内工会礼堂一层,100143,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区田村街道永金里社区卫生服务站,北京市海淀区五棵松81号院四号楼西设备层西侧房屋,100143,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区田村街道玉海园社区卫生服务站,北京市海淀区玉海园二里9号商用楼二层,100049,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区田村路街道瑞和园社区卫生服务站,北京市海淀区田村山南路金隅瑞和园小区15#配套公建一层,100143,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区田村路社区卫生服务中心,北京市海淀区田村北路海澜中苑2号公建楼,100039,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区万柳社区卫生服务站,北京市海淀区万柳星标家园1-6号楼之5号楼底商1门,100089,110108,海淀区,其他,非营利性医疗机构
北京市海淀区万寿路甲15号院社区卫生服务站,北京市海淀区万寿路甲15号院西区,100036,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区万寿路街道翠微南里社区卫生服务站,北京市海淀区翠微南里南平房1号,100036,110108,海淀区,集体全资,非营利性医疗机构
北京市海淀区万寿路街道翠微西里社区卫生服务站,万寿路翠微西里,100036,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区万寿路街道复兴路社区卫生服务站,北京市海淀区复兴路24号,100036,110108,海淀区,集体全资,非营利性医疗机构
北京市海淀区万寿路街道沙窝社区卫生服务站,西翠路5号今日家园5楼B02、03,100039,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区万寿路街道铁路宿舍社区卫生服务站,北京市海淀区万寿路1号院,100036,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区万寿路街道万寿园社区卫生服务站,万寿路西街甲板1号院5号楼一层,100036,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区万寿路街道新兴年代社区卫生服务站,北京市海淀区新兴年代小区1号楼首层配套用房,100036,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区万寿路街道紫金长安社区卫生服务站,北京市海淀区西翠路17号院紫金长安家园17号楼1单元102号,100142,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区万寿路街道总参军训和兵种部第六干休所社区卫生服务站,北京市海淀区万寿路街道复兴路26号院12楼,100851,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区万寿路社区卫生服务中心（北京市海淀区万寿路医院）,北京市海淀区翠微中里十三号,100036,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区温泉村社区卫生服务站,北京市海淀区温泉镇温泉村委会东北街,100095,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区温泉镇航材院社区卫生服务中心（航空总医院航材院门诊部）,北京市81信箱59分箱,100095,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区温泉镇环保园社区卫生服务站,北京市海淀区温泉镇阅西山小区3号楼,100095,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区温泉镇尚峰园社区卫生服务站,北京市海淀区温泉镇白家疃尚峰园8号楼5单元103号,100095,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区温泉镇社区卫生服务中心（北京市海淀区温泉中心卫生院）,海淀区温泉镇黑龙潭,100095,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区温泉镇水岸温泉社区卫生服务站,北京市海淀区温泉镇水岸温泉小区北区13号楼,100095,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区温泉镇杨家庄社区卫生服务站,北京市海淀区温泉镇温泉人家小区物业一层,100095,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区温泉镇颐阳山水居社区卫生服务站,北京市海淀区温泉镇颐阳一区社区门外居委会办公楼一层,,110108,海淀区,集体全资,非营利性医疗机构
北京市海淀区温泉镇颐阳山水区社区卫生服务站,北京市海淀区温泉镇杨家庄村南颐阳山水居二区,100095,110108,海淀区,集体全资,非营利性医疗机构
北京市海淀区西北旺镇大牛坊社区卫生服务站,北京市海淀区大牛坊回迁房Ａ03地块二期2号楼Ｂ段一层中,100094,110108,海淀区,国有全资,非营利性医疗机构
北京市海淀区西北旺镇亮甲店村社区卫生服务站,北京市海淀区西北旺镇亮甲店村小区8号（平房）,100094,110108,海淀区,集体全资,非营利性医疗机构
